record_id,employee_id,year,performance_score,projects_completed,training_hours,attendance_rate_percent,bonus_awarded
47420,9484,2025,3.04,9,24,97.77,Yes
47421,9485,2021,3.16,1,88,85.43,No
47422,9485,2022,2.94,1,87,88.20,Yes
47423,9485,2023,2.94,4,60,92.12,Yes
47424,9485,2024,3.34,7,78,88.85,No
47425,9485,2025,3.09,2,81,97.23,Yes
47426,9486,2021,2.50,10,35,95.12,No
47427,9486,2022,2.46,10,45,99.64,No
47428,9486,2023,2.68,1,35,99.17,No
47429,9486,2024,3.22,4,47,86.65,No
47430,9486,2025,2.60,5,32,88.71,Yes
47431,9487,2021,4.73,1,27,90.59,Yes
47432,9487,2022,4.43,9,43,92.08,Yes
47433,9487,2023,4.68,8,29,93.00,No
47434,9487,2024,4.72,2,47,90.51,No
47435,9487,2025,4.48,6,34,95.22,Yes
47436,9488,2021,2.94,10,40,89.18,Yes
47437,9488,2022,3.13,7,40,86.13,Yes
47438,9488,2023,3.27,2,59,97.71,No
47439,9488,2024,3.19,9,52,85.48,No
47440,9488,2025,2.89,6,43,97.00,Yes
47441,9489,2021,4.53,1,63,87.33,No
47442,9489,2022,4.52,9,61,98.64,No
47443,9489,2023,4.88,4,60,99.87,No
47444,9489,2024,4.38,2,49,99.11,Yes
47445,9489,2025,4.52,1,50,85.29,Yes
47446,9490,2021,2.66,7,52,94.00,Yes
47447,9490,2022,2.80,6,30,85.52,No
47448,9490,2023,2.96,8,43,99.64,Yes
47449,9490,2024,2.91,3,54,94.87,No
47450,9490,2025,2.86,3,46,93.13,Yes
47451,9491,2021,3.61,5,57,97.04,No
47452,9491,2022,3.73,3,65,92.83,Yes
47453,9491,2023,3.41,5,74,97.98,Yes
47454,9491,2024,3.68,8,69,87.81,Yes
47455,9491,2025,3.01,8,65,99.25,No
47456,9492,2021,2.97,3,41,89.92,No
47457,9492,2022,3.20,4,46,96.86,No
47458,9492,2023,3.11,9,46,96.85,No
47459,9492,2024,3.53,10,29,86.28,No
47460,9492,2025,3.01,9,31,87.50,Yes
47461,9493,2021,4.50,9,77,92.92,No
47462,9493,2022,4.22,6,65,94.18,Yes
47463,9493,2023,4.80,4,76,99.14,Yes
47464,9493,2024,4.07,4,85,88.83,No
47465,9493,2025,4.77,2,72,86.51,Yes
47466,9494,2021,3.63,9,62,90.64,No
47467,9494,2022,3.52,10,89,94.69,Yes
47468,9494,2023,3.64,4,76,90.15,No
47469,9494,2024,3.47,2,62,94.16,No
47470,9494,2025,3.66,3,75,87.25,Yes
47471,9495,2021,2.35,4,67,96.44,Yes
47472,9495,2022,2.64,7,62,87.71,No
47473,9495,2023,2.60,9,64,93.23,Yes
47474,9495,2024,2.42,2,39,97.19,Yes
47475,9495,2025,2.26,8,46,95.84,Yes
47476,9496,2021,3.05,1,51,96.13,Yes
47477,9496,2022,2.57,5,48,93.42,Yes
47478,9496,2023,2.90,3,57,97.83,Yes
47479,9496,2024,2.34,1,52,99.82,No
47480,9496,2025,2.89,7,75,92.19,Yes
47481,9497,2021,3.73,4,85,89.97,Yes
47482,9497,2022,4.32,7,92,88.77,No
47483,9497,2023,3.99,7,88,98.09,No
47484,9497,2024,4.36,3,86,99.75,No
47485,9497,2025,4.19,6,95,87.47,Yes
47486,9498,2021,3.53,10,86,90.80,Yes
47487,9498,2022,4.20,7,82,87.01,Yes
47488,9498,2023,3.52,8,73,85.31,Yes
47489,9498,2024,4.22,1,79,96.68,No
47490,9498,2025,4.17,8,63,98.02,Yes
47491,9499,2021,3.63,10,43,97.17,Yes
47492,9499,2022,3.37,2,71,97.70,Yes
47493,9499,2023,3.59,7,52,88.70,Yes
47494,9499,2024,3.69,6,57,85.65,No
47495,9499,2025,3.02,10,71,99.88,Yes
47496,9500,2021,4.70,1,63,86.75,No
47497,9500,2022,4.38,5,63,92.10,Yes
47498,9500,2023,4.06,3,82,89.93,No
47499,9500,2024,4.01,10,72,92.53,Yes
47500,9500,2025,4.25,5,70,99.47,No
47501,9501,2021,3.01,6,64,89.66,Yes
47502,9501,2022,3.04,5,40,99.72,Yes
47503,9501,2023,3.63,2,67,99.98,Yes
47504,9501,2024,3.10,8,67,91.58,Yes
47505,9501,2025,3.10,3,50,88.53,No
47506,9502,2021,4.24,7,26,99.73,No
47507,9502,2022,4.31,8,37,98.51,No
47508,9502,2023,4.60,7,39,95.79,No
47509,9502,2024,4.62,8,37,92.74,No
47510,9502,2025,4.39,6,42,94.14,No
47511,9503,2021,4.09,5,61,86.76,Yes
47512,9503,2022,4.12,4,39,94.31,Yes
47513,9503,2023,3.77,4,63,86.58,No
47514,9503,2024,4.30,7,40,94.72,No
47515,9503,2025,3.70,6,66,97.88,Yes
47516,9504,2021,3.97,9,62,85.31,Yes
47517,9504,2022,3.84,1,55,93.19,Yes
47518,9504,2023,4.06,4,51,92.39,No
47519,9504,2024,4.18,8,42,85.86,No
47520,9504,2025,4.33,3,59,98.64,No
47521,9505,2021,4.29,4,14,92.31,Yes
47522,9505,2022,4.38,3,31,97.46,No
47523,9505,2023,4.82,9,34,88.11,Yes
47524,9505,2024,4.51,6,32,88.01,Yes
47525,9505,2025,4.60,8,43,98.33,Yes
47526,9506,2021,3.93,9,43,89.67,No
47527,9506,2022,4.27,7,63,90.91,Yes
47528,9506,2023,4.20,9,43,95.54,No
47529,9506,2024,3.88,8,72,89.69,No
47530,9506,2025,4.05,6,44,92.62,Yes
47531,9507,2021,4.43,9,59,86.63,Yes
47532,9507,2022,4.47,2,73,97.14,Yes
47533,9507,2023,3.95,4,70,90.65,Yes
47534,9507,2024,4.26,7,67,91.15,Yes
47535,9507,2025,4.37,6,81,86.63,Yes
47536,9508,2021,3.56,5,16,85.90,No
47537,9508,2022,3.60,2,22,89.51,Yes
47538,9508,2023,2.98,5,42,89.32,No
47539,9508,2024,2.86,8,41,94.04,No
47540,9508,2025,3.51,1,44,88.41,Yes
47541,9509,2021,3.07,1,69,98.58,Yes
47542,9509,2022,2.99,2,80,97.37,No
47543,9509,2023,2.54,10,58,99.05,Yes
47544,9509,2024,2.79,8,64,99.87,No
47545,9509,2025,3.10,7,79,87.98,No
47546,9510,2021,4.31,4,56,97.26,No
47547,9510,2022,4.75,10,48,91.94,No
47548,9510,2023,4.73,6,47,86.44,No
47549,9510,2024,4.45,9,37,94.60,Yes
47550,9510,2025,4.31,9,56,93.46,Yes
47551,9511,2021,2.40,9,63,86.49,No
47552,9511,2022,3.00,3,46,93.35,No
47553,9511,2023,2.68,3,42,96.55,No
47554,9511,2024,2.57,8,51,90.89,No
47555,9511,2025,2.94,10,41,99.68,No
47556,9512,2021,3.26,10,37,99.30,No
47557,9512,2022,3.37,2,59,88.78,No
47558,9512,2023,3.69,6,51,87.81,No
47559,9512,2024,3.57,2,32,99.00,No
47560,9512,2025,3.66,8,42,89.62,Yes
47561,9513,2021,2.70,9,50,89.42,Yes
47562,9513,2022,2.65,9,33,94.49,Yes
47563,9513,2023,2.36,10,26,97.10,No
47564,9513,2024,2.56,3,34,97.59,No
47565,9513,2025,2.92,2,35,91.50,Yes
47566,9514,2021,2.81,4,44,95.77,No
47567,9514,2022,2.82,6,44,96.02,No
47568,9514,2023,2.82,8,54,92.74,No
47569,9514,2024,2.78,6,36,93.08,Yes
47570,9514,2025,3.24,8,38,94.60,Yes
47571,9515,2021,3.93,7,18,94.87,Yes
47572,9515,2022,4.45,7,36,98.87,Yes
47573,9515,2023,4.31,7,39,93.58,Yes
47574,9515,2024,4.27,6,37,86.16,Yes
47575,9515,2025,3.98,5,21,94.43,No
47576,9516,2021,3.09,4,49,95.20,Yes
47577,9516,2022,3.49,1,50,95.88,Yes
47578,9516,2023,3.60,9,57,89.57,Yes
47579,9516,2024,3.40,3,66,96.99,Yes
47580,9516,2025,3.45,9,52,92.48,No
47581,9517,2021,3.13,8,66,97.25,Yes
47582,9517,2022,2.83,4,73,86.68,No
47583,9517,2023,2.71,3,62,97.08,Yes
47584,9517,2024,2.89,2,51,93.45,No
47585,9517,2025,2.84,9,61,96.65,Yes
47586,9518,2021,3.29,1,24,96.07,No
47587,9518,2022,3.73,2,28,88.70,No
47588,9518,2023,3.28,5,28,96.81,No
47589,9518,2024,4.01,8,26,92.41,No
47590,9518,2025,3.91,5,30,93.23,Yes
47591,9519,2021,3.30,9,70,98.31,No
47592,9519,2022,3.12,6,78,94.74,Yes
47593,9519,2023,3.34,7,52,87.98,No
47594,9519,2024,2.81,3,62,86.54,No
47595,9519,2025,3.49,6,58,90.22,No
47596,9520,2021,3.59,3,62,96.13,No
47597,9520,2022,2.95,1,57,95.35,No
47598,9520,2023,2.89,7,64,98.11,No
47599,9520,2024,3.04,8,55,94.60,No
47600,9520,2025,3.25,9,58,96.12,Yes
47601,9521,2021,3.78,3,50,88.56,No
47602,9521,2022,3.70,6,56,93.62,No
47603,9521,2023,3.71,9,65,92.96,Yes
47604,9521,2024,3.62,6,64,96.16,No
47605,9521,2025,3.67,5,50,96.78,No
47606,9522,2021,3.21,3,57,99.05,No
47607,9522,2022,3.35,7,63,95.77,No
47608,9522,2023,3.26,5,69,93.55,Yes
47609,9522,2024,3.34,2,68,90.21,No
47610,9522,2025,2.64,9,54,93.70,No
47611,9523,2021,3.83,2,14,86.54,Yes
47612,9523,2022,4.06,6,28,97.88,No
47613,9523,2023,3.57,3,39,96.84,Yes
47614,9523,2024,3.69,5,43,95.31,Yes
47615,9523,2025,4.01,3,35,97.77,Yes
47616,9524,2021,3.08,3,90,91.77,No
47617,9524,2022,3.23,1,85,96.47,Yes
47618,9524,2023,3.35,6,87,87.23,No
47619,9524,2024,2.86,6,74,86.59,Yes
47620,9524,2025,3.60,4,89,99.45,No
47621,9525,2021,3.80,1,72,98.63,Yes
47622,9525,2022,3.53,8,72,98.01,Yes
47623,9525,2023,3.67,10,73,92.17,No
47624,9525,2024,4.08,2,82,92.71,Yes
47625,9525,2025,3.64,8,76,99.79,Yes
47626,9526,2021,3.50,1,76,88.14,Yes
47627,9526,2022,4.24,5,94,97.63,No
47628,9526,2023,3.76,4,75,87.05,No
47629,9526,2024,4.13,10,98,93.96,No
47630,9526,2025,3.81,10,75,97.85,Yes
47631,9527,2021,4.17,6,30,86.39,Yes
47632,9527,2022,3.41,1,43,85.89,Yes
47633,9527,2023,3.52,2,45,91.76,Yes
47634,9527,2024,3.99,5,33,90.47,No
47635,9527,2025,3.93,10,25,85.39,Yes
47636,9528,2021,3.32,5,59,95.27,Yes
47637,9528,2022,2.88,2,44,88.29,Yes
47638,9528,2023,2.99,6,58,88.14,No
47639,9528,2024,2.70,3,59,98.79,Yes
47640,9528,2025,3.12,6,56,90.87,Yes
47641,9529,2021,3.38,1,62,98.04,No
47642,9529,2022,3.14,5,55,99.34,No
47643,9529,2023,2.99,6,63,99.71,No
47644,9529,2024,2.81,9,54,94.07,Yes
47645,9529,2025,3.46,1,63,95.87,Yes
47646,9530,2021,3.93,2,30,88.39,No
47647,9530,2022,3.60,8,25,85.48,Yes
47648,9530,2023,3.47,2,42,87.16,Yes
47649,9530,2024,3.75,4,44,96.41,Yes
47650,9530,2025,4.14,7,41,99.63,Yes
47651,9531,2021,3.09,3,35,93.28,Yes
47652,9531,2022,3.34,7,42,92.89,Yes
47653,9531,2023,3.05,6,39,92.55,No
47654,9531,2024,3.53,3,57,90.60,No
47655,9531,2025,2.81,6,48,93.73,Yes
47656,9532,2021,3.70,5,92,99.42,No
47657,9532,2022,4.15,4,74,86.31,No
47658,9532,2023,3.92,1,77,89.89,Yes
47659,9532,2024,3.61,2,88,98.62,No
47660,9532,2025,3.85,9,92,90.01,No
47661,9533,2021,2.74,5,81,97.24,No
47662,9533,2022,2.85,7,81,99.90,No
47663,9533,2023,2.89,3,70,89.76,No
47664,9533,2024,2.57,6,79,86.11,Yes
47665,9533,2025,2.66,7,75,88.88,Yes
47666,9534,2021,2.92,1,61,88.19,No
47667,9534,2022,2.48,9,68,93.12,No
47668,9534,2023,2.35,3,55,99.54,Yes
47669,9534,2024,2.43,4,67,87.14,No
47670,9534,2025,2.61,2,57,86.76,Yes
47671,9535,2021,3.55,7,66,86.33,Yes
47672,9535,2022,3.46,2,83,86.74,Yes
47673,9535,2023,3.42,2,73,95.97,No
47674,9535,2024,4.08,4,77,91.79,No
47675,9535,2025,3.45,3,57,91.92,Yes
47676,9536,2021,4.37,3,58,93.63,Yes
47677,9536,2022,4.09,3,50,95.41,Yes
47678,9536,2023,3.93,4,65,98.62,No
47679,9536,2024,4.41,4,74,87.95,Yes
47680,9536,2025,3.95,7,74,85.33,Yes
47681,9537,2021,2.99,7,96,85.37,Yes
47682,9537,2022,3.23,8,87,85.64,No
47683,9537,2023,2.88,4,86,95.17,Yes
47684,9537,2024,3.04,7,71,93.59,Yes
47685,9537,2025,2.80,1,87,88.67,Yes
47686,9538,2021,3.90,6,75,97.45,Yes
47687,9538,2022,4.09,3,54,85.45,Yes
47688,9538,2023,4.13,7,62,86.13,No
47689,9538,2024,3.74,7,58,91.19,Yes
47690,9538,2025,3.95,9,50,90.24,No
47691,9539,2021,2.96,6,63,88.79,No
47692,9539,2022,2.31,4,77,88.74,Yes
47693,9539,2023,2.45,3,56,87.23,Yes
47694,9539,2024,2.69,1,55,98.45,No
47695,9539,2025,2.82,1,69,86.14,No
47696,9540,2021,3.18,10,55,90.51,Yes
47697,9540,2022,3.00,2,39,85.20,No
47698,9540,2023,3.16,5,53,93.04,No
47699,9540,2024,3.20,1,69,95.41,No
47700,9540,2025,3.39,7,68,85.20,Yes
47701,9541,2021,4.32,1,63,98.60,Yes
47702,9541,2022,4.36,7,67,88.70,No
47703,9541,2023,4.26,1,74,89.62,Yes
47704,9541,2024,4.05,8,66,99.80,Yes
47705,9541,2025,4.60,7,70,86.09,Yes
47706,9542,2021,3.64,3,19,97.85,Yes
47707,9542,2022,3.76,3,26,97.21,No
47708,9542,2023,3.34,6,38,94.87,Yes
47709,9542,2024,3.60,8,31,96.33,No
47710,9542,2025,3.89,7,29,91.80,Yes
47711,9543,2021,3.04,2,88,85.25,No
47712,9543,2022,3.06,1,92,91.18,No
47713,9543,2023,2.56,10,63,90.38,No
47714,9543,2024,2.66,5,79,92.18,No
47715,9543,2025,2.96,1,69,94.97,Yes
47716,9544,2021,4.05,2,21,88.85,No
47717,9544,2022,3.55,6,25,99.56,Yes
47718,9544,2023,4.13,10,34,99.78,Yes
47719,9544,2024,4.17,6,43,89.83,No
47720,9544,2025,3.62,10,34,85.74,Yes
47721,9545,2021,2.50,5,77,89.18,Yes
47722,9545,2022,2.63,6,64,90.40,Yes
47723,9545,2023,2.47,9,75,92.94,Yes
47724,9545,2024,2.59,6,69,89.13,Yes
47725,9545,2025,2.70,5,74,97.24,No
47726,9546,2021,4.27,3,82,91.35,No
47727,9546,2022,4.33,1,83,94.39,No
47728,9546,2023,4.29,4,92,88.49,Yes
47729,9546,2024,4.29,1,74,90.24,Yes
47730,9546,2025,3.62,6,84,99.13,Yes
47731,9547,2021,2.63,10,61,97.51,Yes
47732,9547,2022,2.88,4,52,89.55,Yes
47733,9547,2023,2.78,4,45,90.95,No
47734,9547,2024,3.01,9,48,93.43,No
47735,9547,2025,2.56,5,62,85.37,No
47736,9548,2021,4.77,1,37,95.17,Yes
47737,9548,2022,4.07,6,28,99.24,No
47738,9548,2023,4.62,6,38,98.05,No
47739,9548,2024,4.09,3,37,94.15,Yes
47740,9548,2025,4.14,5,39,98.97,No
47741,9549,2021,3.65,10,64,89.51,Yes
47742,9549,2022,3.99,9,75,88.20,Yes
47743,9549,2023,3.41,7,75,88.58,No
47744,9549,2024,3.29,2,66,86.45,No
47745,9549,2025,3.38,3,74,96.72,Yes
47746,9550,2021,4.76,6,55,96.19,No
47747,9550,2022,4.71,9,57,94.69,Yes
47748,9550,2023,4.23,3,52,88.47,No
47749,9550,2024,4.41,10,43,97.94,Yes
47750,9550,2025,4.33,7,42,97.46,No
47751,9551,2021,3.09,5,84,99.33,No
47752,9551,2022,3.63,9,86,98.84,Yes
47753,9551,2023,3.59,7,61,92.22,No
47754,9551,2024,3.24,4,81,87.04,Yes
47755,9551,2025,3.46,7,67,95.89,No
47756,9552,2021,4.18,2,79,86.62,No
47757,9552,2022,3.65,7,90,87.88,No
47758,9552,2023,3.66,9,81,96.86,Yes
47759,9552,2024,4.25,10,68,92.55,No
47760,9552,2025,3.78,2,91,93.82,Yes
47761,9553,2021,3.01,6,50,95.93,No
47762,9553,2022,3.10,6,27,98.09,No
47763,9553,2023,2.57,9,33,96.59,No
47764,9553,2024,3.08,5,32,96.60,No
47765,9553,2025,3.30,8,49,92.27,No
47766,9554,2021,3.55,1,73,88.61,Yes
47767,9554,2022,4.20,5,61,96.78,No
47768,9554,2023,4.05,5,60,97.65,No
47769,9554,2024,4.18,4,84,87.94,Yes
47770,9554,2025,4.27,2,68,89.08,Yes
47771,9555,2021,3.96,7,35,92.76,No
47772,9555,2022,4.16,7,45,96.86,Yes
47773,9555,2023,4.24,4,45,95.05,No
47774,9555,2024,4.12,1,19,94.57,Yes
47775,9555,2025,3.78,9,33,94.65,No
47776,9556,2021,4.42,10,21,97.67,Yes
47777,9556,2022,3.87,5,29,86.22,No
47778,9556,2023,4.02,6,15,93.06,Yes
47779,9556,2024,4.00,5,36,89.77,No
47780,9556,2025,3.86,6,41,87.56,No
47781,9557,2021,4.06,3,62,88.45,Yes
47782,9557,2022,3.84,1,52,92.49,Yes
47783,9557,2023,4.27,2,62,90.42,No
47784,9557,2024,3.89,5,66,86.26,Yes
47785,9557,2025,4.05,2,64,87.45,Yes
47786,9558,2021,4.72,6,73,87.64,Yes
47787,9558,2022,4.22,5,92,91.43,No
47788,9558,2023,4.79,6,70,90.04,No
47789,9558,2024,4.66,2,96,88.60,Yes
47790,9558,2025,4.58,8,82,88.61,No
47791,9559,2021,4.15,6,27,92.53,Yes
47792,9559,2022,3.99,6,34,87.32,Yes
47793,9559,2023,4.00,6,19,89.23,No
47794,9559,2024,4.02,10,32,95.99,Yes
47795,9559,2025,3.86,4,39,92.77,No
47796,9560,2021,4.15,2,78,97.89,No
47797,9560,2022,4.69,5,66,89.12,Yes
47798,9560,2023,4.75,1,95,85.41,Yes
47799,9560,2024,4.26,9,66,88.68,No
47800,9560,2025,4.39,10,72,93.68,Yes
47801,9561,2021,4.34,2,52,91.31,No
47802,9561,2022,4.41,9,35,94.16,Yes
47803,9561,2023,3.89,7,45,89.54,Yes
47804,9561,2024,4.06,8,56,86.98,Yes
47805,9561,2025,4.05,10,57,94.35,No
47806,9562,2021,3.32,4,24,99.60,No
47807,9562,2022,2.93,2,41,92.33,Yes
47808,9562,2023,2.91,6,43,89.24,No
47809,9562,2024,3.05,1,29,92.87,Yes
47810,9562,2025,3.25,5,45,93.54,Yes
47811,9563,2021,4.56,9,19,94.52,Yes
47812,9563,2022,4.76,10,24,94.99,No
47813,9563,2023,4.48,3,31,99.01,Yes
47814,9563,2024,4.68,6,26,86.43,No
47815,9563,2025,4.19,9,47,86.04,Yes
47816,9564,2021,2.67,2,81,92.53,Yes
47817,9564,2022,3.23,7,90,96.41,Yes
47818,9564,2023,3.31,2,93,98.03,Yes
47819,9564,2024,3.04,2,85,93.57,No
47820,9564,2025,3.22,4,96,93.76,No
47821,9565,2021,4.83,5,78,90.08,Yes
47822,9565,2022,4.78,9,70,93.07,Yes
47823,9565,2023,4.30,3,67,85.77,Yes
47824,9565,2024,4.59,3,74,91.67,Yes
47825,9565,2025,4.32,7,60,99.40,Yes
47826,9566,2021,4.31,9,64,91.83,No
47827,9566,2022,4.44,3,52,97.38,Yes
47828,9566,2023,4.78,6,61,87.74,Yes
47829,9566,2024,4.54,3,67,93.99,Yes
47830,9566,2025,4.13,5,42,94.49,Yes
47831,9567,2021,3.41,2,83,85.24,Yes
47832,9567,2022,2.72,6,82,91.04,No
47833,9567,2023,3.30,8,91,87.85,Yes
47834,9567,2024,3.27,10,73,85.75,No
47835,9567,2025,2.85,4,91,87.52,Yes
47836,9568,2021,2.67,7,93,90.24,No
47837,9568,2022,2.76,2,78,93.74,No
47838,9568,2023,2.46,8,82,95.25,Yes
47839,9568,2024,2.61,5,94,97.50,No
47840,9568,2025,2.88,1,69,88.62,No
47841,9569,2021,4.67,6,43,88.90,No
47842,9569,2022,4.40,10,65,96.43,No
47843,9569,2023,4.16,9,55,94.62,Yes
47844,9569,2024,4.73,5,57,89.41,No
47845,9569,2025,4.43,1,68,90.98,Yes
47846,9570,2021,3.30,1,35,91.32,No
47847,9570,2022,2.89,4,49,96.54,Yes
47848,9570,2023,3.32,8,55,96.40,No
47849,9570,2024,3.37,10,37,90.94,No
47850,9570,2025,3.08,7,49,86.18,No
47851,9571,2021,3.45,8,64,94.15,Yes
47852,9571,2022,3.34,4,44,97.85,No
47853,9571,2023,3.46,2,57,98.59,No
47854,9571,2024,2.95,10,46,97.11,No
47855,9571,2025,3.39,2,45,85.43,Yes
47856,9572,2021,3.73,9,45,90.30,Yes
47857,9572,2022,4.32,9,30,86.64,Yes
47858,9572,2023,3.88,6,35,93.63,Yes
47859,9572,2024,4.21,5,27,89.79,No
47860,9572,2025,4.39,1,32,85.47,No
47861,9573,2021,4.45,5,11,97.56,No
47862,9573,2022,3.99,3,37,98.48,Yes
47863,9573,2023,4.39,9,16,87.20,Yes
47864,9573,2024,4.21,7,16,96.79,No
47865,9573,2025,3.99,10,33,97.27,No
47866,9574,2021,2.36,2,16,93.08,No
47867,9574,2022,2.64,1,23,85.74,No
47868,9574,2023,2.66,1,30,96.20,No
47869,9574,2024,2.39,1,15,85.36,Yes
47870,9574,2025,2.68,7,31,85.35,Yes
47871,9575,2021,3.39,6,22,85.65,No
47872,9575,2022,3.37,4,32,92.92,Yes
47873,9575,2023,3.60,10,33,90.34,Yes
47874,9575,2024,3.95,7,35,91.60,No
47875,9575,2025,3.43,7,27,96.55,Yes
47876,9576,2021,4.40,10,41,94.68,No
47877,9576,2022,4.92,10,42,88.14,Yes
47878,9576,2023,4.51,1,32,86.46,No
47879,9576,2024,4.51,1,18,90.72,No
47880,9576,2025,4.61,10,24,98.23,Yes
47881,9577,2021,4.25,4,63,87.30,No
47882,9577,2022,4.12,9,69,86.94,Yes
47883,9577,2023,4.16,6,60,98.22,No
47884,9577,2024,4.10,10,68,99.73,No
47885,9577,2025,4.31,8,88,97.89,Yes
47886,9578,2021,2.58,8,76,92.19,No
47887,9578,2022,2.78,7,60,96.39,Yes
47888,9578,2023,2.43,6,78,91.85,No
47889,9578,2024,2.61,3,81,87.91,Yes
47890,9578,2025,3.07,9,53,92.00,Yes
47891,9579,2021,3.29,3,39,86.85,No
47892,9579,2022,3.03,8,48,93.86,No
47893,9579,2023,3.00,7,51,92.85,No
47894,9579,2024,3.17,4,52,96.50,No
47895,9579,2025,3.34,8,55,90.23,No
47896,9580,2021,2.34,10,56,99.65,No
47897,9580,2022,2.37,4,54,97.92,No
47898,9580,2023,2.37,7,64,98.08,Yes
47899,9580,2024,2.64,6,42,89.82,No
47900,9580,2025,2.71,10,49,97.45,No
47901,9581,2021,3.66,3,35,99.12,Yes
47902,9581,2022,4.10,3,29,89.94,No
47903,9581,2023,4.00,2,51,87.07,No
47904,9581,2024,3.93,6,27,89.52,No
47905,9581,2025,3.96,6,38,86.11,Yes
47906,9582,2021,3.20,10,36,87.01,Yes
47907,9582,2022,3.06,10,29,86.37,Yes
47908,9582,2023,3.45,10,54,99.11,Yes
47909,9582,2024,3.57,3,39,99.79,No
47910,9582,2025,3.65,8,38,96.54,Yes
47911,9583,2021,3.85,8,34,99.10,Yes
47912,9583,2022,3.13,9,25,98.36,Yes
47913,9583,2023,3.36,1,37,87.91,Yes
47914,9583,2024,3.85,7,24,99.15,Yes
47915,9583,2025,3.78,10,31,96.93,No
47916,9584,2021,3.93,1,67,89.10,No
47917,9584,2022,3.85,9,71,95.22,No
47918,9584,2023,4.09,3,76,85.19,No
47919,9584,2024,3.57,5,88,93.29,No
47920,9584,2025,3.66,1,70,87.48,No
47921,9585,2021,3.91,2,68,95.53,Yes
47922,9585,2022,3.69,2,51,98.33,Yes
47923,9585,2023,3.83,10,66,97.64,Yes
47924,9585,2024,4.12,2,43,88.76,Yes
47925,9585,2025,4.33,9,47,99.22,No
47926,9586,2021,3.24,6,32,97.63,Yes
47927,9586,2022,3.20,10,31,93.01,No
47928,9586,2023,2.69,2,27,87.83,Yes
47929,9586,2024,2.79,7,13,88.02,No
47930,9586,2025,3.01,2,19,95.69,No
47931,9587,2021,3.00,6,47,88.39,Yes
47932,9587,2022,3.02,5,65,99.23,No
47933,9587,2023,3.20,4,46,94.68,No
47934,9587,2024,3.18,6,55,91.49,Yes
47935,9587,2025,3.14,7,64,90.04,No
47936,9588,2021,3.30,3,57,93.79,Yes
47937,9588,2022,3.40,9,62,91.40,Yes
47938,9588,2023,3.57,8,86,94.14,No
47939,9588,2024,3.57,4,59,95.37,Yes
47940,9588,2025,3.27,9,79,87.33,Yes
47941,9589,2021,4.13,10,85,86.36,No
47942,9589,2022,4.52,10,85,93.51,No
47943,9589,2023,4.33,8,67,89.61,Yes
47944,9589,2024,4.37,1,87,85.10,Yes
47945,9589,2025,4.79,4,84,92.17,No
47946,9590,2021,3.11,2,51,93.89,No
47947,9590,2022,2.82,5,35,94.59,No
47948,9590,2023,3.11,5,30,91.25,No
47949,9590,2024,2.99,4,35,92.13,No
47950,9590,2025,2.63,8,51,88.95,No
47951,9591,2021,4.47,9,28,90.69,Yes
47952,9591,2022,4.34,2,39,99.51,Yes
47953,9591,2023,4.09,2,50,92.43,Yes
47954,9591,2024,4.16,7,47,95.24,No
47955,9591,2025,4.43,2,49,87.84,No
47956,9592,2021,3.73,5,74,87.64,Yes
47957,9592,2022,4.19,3,81,87.36,No
47958,9592,2023,4.10,3,57,99.78,Yes
47959,9592,2024,4.20,4,72,86.28,Yes
47960,9592,2025,4.10,6,73,85.43,Yes
47961,9593,2021,3.15,3,77,99.43,No
47962,9593,2022,2.70,9,87,98.11,Yes
47963,9593,2023,2.88,6,75,97.42,No
47964,9593,2024,3.25,1,96,91.63,No
47965,9593,2025,2.62,9,94,98.48,No
47966,9594,2021,3.26,6,75,89.11,No
47967,9594,2022,3.47,9,69,98.10,Yes
47968,9594,2023,2.94,3,79,92.71,Yes
47969,9594,2024,3.17,4,77,92.67,Yes
47970,9594,2025,3.32,10,84,94.91,No
47971,9595,2021,3.80,6,55,85.29,No
47972,9595,2022,4.03,7,62,97.67,Yes
47973,9595,2023,3.73,9,69,87.90,Yes
47974,9595,2024,4.03,2,43,92.73,Yes
47975,9595,2025,3.48,10,44,93.06,Yes
47976,9596,2021,3.19,7,26,86.38,No
47977,9596,2022,3.27,6,32,96.54,No
47978,9596,2023,3.46,2,40,97.34,Yes
47979,9596,2024,3.44,8,23,98.56,No
47980,9596,2025,3.67,2,16,89.89,Yes
47981,9597,2021,2.41,3,79,98.33,No
47982,9597,2022,2.49,7,70,95.02,Yes
47983,9597,2023,2.67,2,65,96.03,No
47984,9597,2024,2.84,1,77,85.31,No
47985,9597,2025,2.38,1,60,86.33,No
47986,9598,2021,3.27,1,87,92.43,Yes
47987,9598,2022,3.92,6,69,86.13,Yes
47988,9598,2023,3.85,5,68,97.95,No
47989,9598,2024,3.30,10,94,92.36,Yes
47990,9598,2025,3.87,10,91,95.99,No
47991,9599,2021,3.35,5,35,88.43,Yes
47992,9599,2022,2.90,5,35,85.26,No
47993,9599,2023,3.02,9,39,95.47,Yes
47994,9599,2024,3.36,6,46,90.17,Yes
47995,9599,2025,3.39,1,42,93.69,Yes
47996,9600,2021,3.03,3,64,98.73,No
47997,9600,2022,2.60,3,80,99.68,No
47998,9600,2023,2.52,8,56,85.66,No
47999,9600,2024,3.27,8,55,86.78,Yes
48000,9600,2025,2.64,9,69,95.65,No
